date,amount
5/24/2018,2.98
8/22/2018,39.94
12/26/2018,25.25
8/8/2018,41.72
5/9/2018,39.18
12/30/2018,0.41
3/23/2019,46.67
5/11/2018,43.33
4/16/2019,5.49
1/12/2019,38.49
3/2/2019,18.25
9/19/2018,14.96
2/6/2019,17.65
6/24/2018,28.39
6/2/2018,42.54
1/16/2019,2.41
10/14/2018,16.05
7/9/2018,4.99
9/18/2018,3.1
4/3/2019,16.88
1/23/2019,4.49
11/4/2018,6.29
11/9/2018,2.33
10/31/2018,37.69
4/28/2019,22.77
3/21/2019,0.06
1/4/2019,15.79
9/12/2018,20.28
6/8/2018,3.56
1/30/2019,30.58
11/16/2018,37.35
8/8/2018,24.84
9/19/2018,33.67
10/5/2018,30.18
2/4/2019,48.52
5/29/2018,30.98
2/15/2019,34.32
9/5/2018,8.06
5/15/2018,18.91
12/26/2018,37.5
10/6/2018,8.05
7/23/2018,12.04
12/28/2018,27.89
5/24/2018,25.65
10/2/2018,7.11
6/21/2018,42.42
3/18/2019,42.6
8/7/2018,42.82
7/17/2018,9.22
9/29/2018,12.12
10/18/2018,23.8
11/5/2018,9.01
9/13/2018,38.89
9/14/2018,3.94
8/30/2018,47.62
6/13/2018,30.43
3/3/2019,26.05
12/11/2018,6.85
4/29/2019,28.99
6/18/2018,1.78
1/28/2019,19.51
1/11/2019,21.05
4/19/2019,20.15
9/7/2018,13.93
3/11/2019,4.75
3/26/2019,44.01
8/14/2018,25.81
12/27/2018,36.32
10/31/2018,20.15
8/27/2018,48.47
9/7/2018,10.54
9/27/2018,48.99
4/4/2019,35.27
6/18/2018,13.42
1/2/2019,45.12
1/27/2019,19.64
11/30/2018,46.1
6/6/2018,13.45
6/26/2018,46.79
7/26/2018,22.52
9/3/2018,13.83
10/4/2018,21.44
3/9/2019,30.24
8/7/2018,32.52
5/3/2018,30.88
2/28/2019,8.21
12/29/2018,47.65
10/18/2018,23.75
8/12/2018,44.35
1/10/2019,33.1
3/23/2019,36.93
2/28/2019,17.95
4/19/2019,18.94
8/16/2018,45.48
9/11/2018,22.9
2/22/2019,6.18
8/8/2018,35.03
6/8/2018,27.23
7/14/2018,41.9
10/27/2018,19.6
4/1/2019,24.21
3/24/2019,23.12
6/2/2018,29.19
2/14/2019,23.07
4/14/2019,18.46
11/8/2018,49.07
12/23/2018,15.51
2/25/2019,23.45
7/17/2018,12.39
11/19/2018,10.7
11/2/2018,19.61
6/26/2018,2.36
2/18/2019,45.97
3/1/2019,22.76
11/10/2018,19.85
10/30/2018,4.76
6/19/2018,5.99
2/3/2019,2.43
8/22/2018,33.52
9/21/2018,30.91
11/3/2018,34.06
2/19/2019,30.99
4/19/2019,49.1
7/26/2018,15.37
1/14/2019,7.23
7/30/2018,5.7
2/21/2019,40.78
3/27/2019,33.11
5/1/2018,44.77
7/3/2018,2.27
2/15/2019,27.45
4/5/2019,45.69
12/14/2018,6.28
10/28/2018,34.22
4/9/2019,49.54
10/29/2018,6.33
11/4/2018,6.29
10/14/2018,24.18
5/17/2018,21.61
10/12/2018,38.19
3/2/2019,5.41
1/4/2019,38.12
2/13/2019,43.09
11/22/2018,46.39
5/31/2018,5.43
12/6/2018,16.9
7/20/2018,34.74
1/29/2019,49.39
3/8/2019,45.17
10/26/2018,6.85
5/31/2018,29.41
8/2/2018,26.92
5/18/2018,35.63
5/27/2018,1.29
11/22/2018,23.63
12/23/2018,41.48
3/26/2019,32.74
8/23/2018,3.28
6/16/2018,47.37
2/4/2019,6.6
12/13/2018,14.22
6/29/2018,35.04
3/13/2019,15.0
5/27/2018,43.91
12/7/2018,41.01
5/18/2018,3.42
5/10/2018,6.1
5/21/2018,34.59
9/10/2018,41.68
6/29/2018,17.71
11/27/2018,2.33
5/26/2018,37.84
5/28/2018,15.55
1/31/2019,26.95
7/19/2018,29.13
2/15/2019,49.27
6/22/2018,13.08
3/7/2019,16.65
7/8/2018,6.23
12/22/2018,21.9
3/11/2019,32.89
4/3/2019,39.85
11/10/2018,15.76
