AAA,Anaa,Tuamotus,French Polynesia,Anaa,
AAB,Arrabury,Queensland, Australia,Arrabury,
AAC,El Arish,Egypt,,El Arish,
AAD,Adado(Cadaado),Galguduud,Somalia,Adado(Cadaado),
AAE,Annaba,Algeria,,Annaba,
AAF,Apalachicola,Florida, United States,Apalachicola,
AAG,Arapoti,Paraná, Brazil,Arapoti,
AAH,Aachen,North Rhine-Westphalia, Germany,Aachen,
AAI,Arraias,Tocantins, Brazil,Arraias,
AAJ,Awaradam,Suriname,,Awaradam,
AAK,Aranuka,Kiribati,,Aranuka,
AAL,Aalborg,Denmark,,Aalborg,
AAM,Mala Mala,South Africa,,Mala Mala,
AAN,Al Ain,United Arab Emirates,,Al Ain,
AAO,Anaco,Venezuela,,Anaco,
AAP,Samarinda,East Kalimantan,Indonesia,Samarinda,
AAQ,Anapa,Krasnodar Krai, Russia,Anapa,
AAR,Aarhus,Denmark,,Aarhus,
AAS,Apalapsili,Indonesia,,Apalapsili,
AAT,Altay,Xinjiang, China,Altay,
AAU,Asau,Savai'i Island,Samoa,Asau,
AAV,Surallah,Philippines,,Surallah,
AAX,Araxá,Minas Gerais, Brazil,Araxa,
AAY,Al Ghaydah,Yemen,,Al Ghaydah,
AAZ,Quetzaltenango,Guatemala,,Quetzaltenango,
ABA,Abakan,Republic of Khakassia, Russia,Abakan,
ABB,Asaba,Nigeria,,Asaba,
ABC,Albacete,Castilla-La Mancha, Spain,Albacete,
ABD,Abadan,Iran,,Abadan,
ABE,Allentown,Pennsylvania, United States,Allentown,
ABF,Abaiang,Kiribati,,Abaiang,
ABG,Abingdon,Queensland, Australia,Abingdon,
ABH,Alpha,Queensland, Australia,Alpha,
ABI,Abilene,Texas, United States,Abilene,
ABJ,Abidjan,Côte d'Ivoire,,Abidjan,
ABK,Kebri Dahar,Ethiopia,,Kebri Dahar,
ABL,Ambler,Alaska, United States,Ambler,
ABM,Bamaga,Queensland, Australia,Bamaga,
ABN,Albina,Suriname,,Albina,
ABO,Aboisso,Côte d'Ivoire,,Aboisso,
ABP,Atkamba,Papua New Guinea,,Atkamba,
ABQ,Albuquerque,New Mexico, United States,Albuquerque,
ABR,Aberdeen,South Dakota, United States,Aberdeen,
ABS,Abu Simbel,Egypt,,Abu Simbel,
ABT,Al Bahah,Saudi Arabia,,Al Bahah,
ABU,Atambua,Indonesia,,Atambua,
ABV,Abuja,Nigeria,,Abuja,
ABW,Abau,Papua New Guinea,,Abau,
ABX,Albury,New South Wales, Australia,Albury,
ABY,Albany,Georgia, United States,Albany,
ABZ,Aberdeen,Scotland, United Kingdom,Aberdeen,
ACA,Acapulco,Guerrero, Mexico,Acapulco,
ACB,Bellaire,Michigan, United States,Bellaire,
ACC,Accra,Ghana,,Accra,
ACD,Acandí,Colombia,,Acandi,
ACE,Lanzarote,Canary Islands, Spain,Lanzarote,
ACH,Altenrhein,Switzerland,,Altenrhein,
ACI,Alderney,Channel Islands, United Kingdom,Alderney,
ACJ,Anuradhapura,Sri Lanka,,Anuradhapura,
ACK,Nantucket,Massachusetts, United States,Nantucket,
ACL,Aguaclara,Colombia,,Aguaclara,
ACM,Arica,Colombia,,Arica,
ACN,Ciudad Acuña,Coahuila, Mexico,Ciudad Acuna,
ACP,Maragheh,Iran,,Maragheh,
ACR,Araracuara,Colombia,,Araracuara,
ACS,Achinsk,Krasnoyarsk Krai, Russia,Achinsk,
ACT,Waco,Texas, United States,Waco,
ACU,Achutupo,Panama,,Achutupo,
ACV,Eureka / Arcata,California, United States,Eureka / Arcata,
ACX,Xingyi,Guizhou, China,Xingyi,
ACY,Atlantic City,New Jersey, United States,Atlantic City,
ACZ,Zabol,Iran,,Zabol,
ADA,Adana,Turkey,,Adana,
ADC,Andakombe,Papua New Guinea,,Andakombe,
ADD,Addis Ababa,Ethiopia,,Addis Ababa,
ADE,Aden,Yemen,,Aden,
ADG,Adrian,Michigan, United States,Adrian,
ADH,Aldan,Yakutia, Russia,Aldan,
ADI,Arandis,Namibia,,Arandis,
ADJ,Amman,Jordan,,Amman,
ADK,Adak Island,Alaska, United States,Adak Island,
ADL,Adelaide,South Australia, Australia,Adelaide,
ADM,Ardmore,Oklahoma, United States,Ardmore,
